No of Association rules = 267
1.) { tropical fruit, } -----> { citrus fruit, } confidence = 24.0786
2.) { yogurt, } -----> { citrus fruit, } confidence = 26.1671
3.) { whole milk, } -----> { citrus fruit, } confidence = 36.855
4.) { other vegetables, } -----> { citrus fruit, } confidence = 34.8894
5.) { root vegetables, } -----> { citrus fruit, } confidence = 21.3759
6.) { whole milk, } -----> { semi-finished bread, } confidence = 40.2299
7.) { other vegetables, } -----> { semi-finished bread, } confidence = 29.3103
8.) { yogurt, } -----> { margarine, } confidence = 24.3056
9.) { whole milk, } -----> { margarine, } confidence = 41.3194
10.) { other vegetables, } -----> { margarine, } confidence = 33.6806
11.) { rolls/buns, } -----> { margarine, } confidence = 25.1736
12.) { yogurt, } -----> { tropical fruit, } confidence = 27.907
13.) { tropical fruit, } -----> { yogurt, } confidence = 20.9913
14.) { whole milk, } -----> { tropical fruit, } confidence = 40.3101
15.) { tropical fruit, } -----> { pip fruit, } confidence = 27.0161
16.) { other vegetables, } -----> { tropical fruit, } confidence = 34.2054
17.) { rolls/buns, } -----> { tropical fruit, } confidence = 23.4496
18.) { tropical fruit, } -----> { white bread, } confidence = 20.7729
19.) { tropical fruit, } -----> { grapes, } confidence = 27.2727
20.) { tropical fruit, } -----> { ham, } confidence = 20.7031
21.) { tropical fruit, } -----> { sliced cheese, } confidence = 21.5768
22.) { whole milk, } -----> { yogurt, } confidence = 40.1603
23.) { yogurt, } -----> { whole milk, } confidence = 21.926
24.) { yogurt, } -----> { pip fruit, } confidence = 23.7903
25.) { yogurt, } -----> { cream cheese, } confidence = 31.2821
26.) { other vegetables, } -----> { yogurt, } confidence = 31.1224
27.) { yogurt, } -----> { other vegetables, } confidence = 22.4383
28.) { yogurt, } -----> { long life bakery product, } confidence = 23.3696
29.) { yogurt, } -----> { butter, } confidence = 26.422
30.) { rolls/buns, } -----> { yogurt, } confidence = 24.6356
31.) { yogurt, } -----> { UHT-milk, } confidence = 22.1884
32.) { yogurt, } -----> { white bread, } confidence = 21.4976
33.) { yogurt, } -----> { bottled water, } confidence = 20.7912
34.) { yogurt, } -----> { curd, } confidence = 32.4427
35.) { yogurt, } -----> { beef, } confidence = 22.2868
36.) { yogurt, } -----> { fruit/vegetable juice, } confidence = 25.879
37.) { yogurt, } -----> { butter milk, } confidence = 30.5455
38.) { yogurt, } -----> { root vegetables, } confidence = 23.694
39.) { yogurt, } -----> { sausage, } confidence = 20.8874
40.) { yogurt, } -----> { brown bread, } confidence = 22.4138
41.) { yogurt, } -----> { beverages, } confidence = 21.0938
42.) { yogurt, } -----> { hygiene articles, } confidence = 22.2222
43.) { yogurt, } -----> { napkins, } confidence = 23.4951
44.) { yogurt, } -----> { berries, } confidence = 31.8043
45.) { yogurt, } -----> { whipped/sour cream, } confidence = 28.9362
46.) { yogurt, } -----> { dessert, } confidence = 26.5753
47.) { yogurt, } -----> { domestic eggs, } confidence = 22.5962
